country,fh_category,fh_score,kmeans,LJI,fragility,gdp
Latvia,1,6.5,4,0.6649,1.0,472.4084630620755
Lebanon,3,2.0,1,0.6282,7.0,7165.377698608319
Lesotho,2,4.5,2,0.8737,11.0,5339.423880431047
Liberia,2,3.0,4,0.4282,18.0,710.5483628188147
Libya,2,3.5,1,0.0535,7.0,165.76008338160332
Liechtenstein,1,6.5,4,0.8887,NA,7864.937572058022
Lithuania,3,1.0,4,0.8171,1.0,105306.74662665033
Luxembourg,3,1.0,3,0.9935,1.0,7814.006136533045
Macedonia,3,1.0,1,0.6466,4.0,80925.21999100315
Madagascar,2,3.0,3,0.389,14.0,2863.9631797082166
Malawi,2,5.0,2,0.6006,15.0,275.47670758205464
Malaysia,2,3.5,0,0.41600000000000004,6.0,213.15667453754935
Maldives,2,4.0,4,0.3647,NA,5553.943582083111
Mali,2,3.5,3,0.3625,14.0,3335.1949999393273
Malta,3,2.5,2,0.8748,NA,444.28464360496616
Marshall Islands,3,1.0,2,0.7678,NA,14810.03520194196
Mauritania,3,1.0,3,0.2272,16.0,2642.3762490212457
Mauritius,1,5.5,2,0.9032,1.0,694.3200827893756
Mexico,3,1.5,4,0.4976,4.0,5054.318111629058
Micronesia,2,3.0,0,0.9366,NA,7823.825497877163
Moldova,3,1.0,4,0.5869,10.0,2352.639339949387
Monaco,2,3.0,4,0.9334,NA,831.1591092385693
Mongolia,3,1.5,1,0.6942,7.0,126599.4032766275
Montenegro,3,2.0,1,0.0,2.0,998.7563598651765
Morocco,3,2.5,3,0.3085,6.0,3665.3274374727343
Mozambique,2,4.5,1,0.3147,14.0,1948.20199738706
Burma,2,3.5,0,0.0,20.0,313.10792968181966
Namibia,3,2.0,2,0.5707,5.0,3582.2760200451207
Nauru,3,1.0,2,0.9218,NA,5000.0
Nepal,2,4.0,0,0.5251,15.0,321.45501864774525
Netherlands,3,1.0,4,0.9484,0.0,39122.291079479655
Nicaragua,2,4.5,4,0.5933,10.0,1158.9970077014664
Niger,2,3.5,3,0.4148,18.0,258.28176033125334
Nigeria,2,4.0,0,0.3882,17.0,804.1523666792164
Norway,1,7.0,4,0.9605,2.0,2418.1
Oman,3,1.0,1,0.2184,4.0,65767.01960760447
Pakistan,1,5.5,0,0.4438,15.0,12252.612875256445
Palau,2,4.5,4,0.9186,NA,693.1766896617543
Panama,3,1.0,4,0.4855,5.0,10359.804591349777
Papua New Guinea,3,1.5,2,0.5605,10.0,4594.481939458616
Paraguay,2,3.5,3,0.5553,8.0,804.0711094233134
North Korea,2,3.0,1,0.0337,9.0,1479.4037783406852
Peru,3,2.5,1,0.7121,7.0,2674.566363713189
Philippines,2,3.0,1,0.5195,11.0,1200.938178383946
Poland,3,1.0,4,0.8616,0.0,7963.021208080897
Portugal,3,1.0,1,0.9065,0.0,18265.431870518954
Qatar,1,5.5,1,0.092,6.0,54228.831714848646
South Korea,3,2.0,1,0.639,0.0,4651.692260740238
Romania,1,5.5,4,0.6698,4.0,5338.412140517182
Russia,1,5.5,4,0.3529,7.0,273.7470892260562
Rwanda,3,1.0,4,0.2955,17.0,10916.190121461523
Samoa,3,1.0,2,0.9455,NA,5492.864913631807
Sao Tome & Principe,3,1.0,1,0.4698,NA,5070.682447163203
Saudi Arabia,3,2.0,1,0.0945,10.0,2291.030635920606
Senegal,3,2.0,3,0.3886,9.0,797.1963075447297
Serbia,1,7.0,4,0.0,5.0,13303.309738451131
Seychelles,2,3.0,2,0.3903,NA,772.5267929566319
Sierra Leone,3,2.0,2,0.5262,19.0,3391.371076430069
Singapore,2,3.0,2,0.3419,2.0,11086.890976925673
Slovakia,2,3.0,4,0.6104,1.0,317.9465763309649
Slovenia,2,4.0,4,0.9397,0.0,29869.63276357576
Vietnam,3,1.0,1,0.0,7.0,11414.605360500836
Solomon Islands,3,1.0,2,0.868,10.0,17854.63533015431
Somalia,2,3.5,1,0.1182,24.0,881.9616183924036
South Africa,1,7.0,0,0.8659,8.0,600.0
South Sudan,3,2.0,1,0.0,NA,5185.849387664718
Spain,3,1.5,4,0.8992,1.0,18657.461133478402
Sri Lanka,1,5.5,0,0.5082,13.0,943.04
Saint Kitts and Nevis,3,1.0,2,0.9648,NA,25904.17315171027
Saint Lucia,2,4.5,2,0.971,NA,1242.404349662804
Saint Vincent & Grenadines,1,7.0,2,0.9258,NA,669.396684398439
Sudan,3,2.0,1,0.1256,23.0,3590.5410423330095
Suriname,1,6.0,4,0.4795,8.0,2339.2899515516933
Swaziland,3,1.0,2,0.2216,8.0,41040.67417536544
Sweden,3,1.0,4,0.9558,0.0,51734.44238304033
Switzerland,1,7.0,1,0.9575,1.0,1588.5056715836356
